Thai,Danish
เธ,Ly
ใช่,Ja
ไม่,ingen
เน,Talrige
โอเค,okay
โอ้,Åh
เฮ้,Hej!
เอ่อ,Åh
นี่,dette
อืม,um
ขอบคุณ,tak skal du have
อะไรนะ,hvad?
เอาล่ะ,okay
อะไร,hvad
ฟังนะ,Lyt
และ,og
ฉัน,jeg
เธญเธ,Det
แล้ว,allerede
ทำไม,hvorfor
ไม่เป็นไร,Glem det
ไป,gå
โอ,Åh
เธตเน,Det
เธฑเธ,Du
เกิดอะไรขึ้น,hvad skete der
ตอนนี้,nu
ก็ได้,okay
สวัสดี,Hej
ฉันรู้,Jeg ved
บรรยายไทยโดย,Thai forelæsning af
ว้าว,Wow
ไม่นะ,ingen
ใช่แล้ว,Ja
ใช่ไหม,Ret?
เปล่า,ikke noget
ใช่มั้ย,Ret?
ดังนั้น,så
คือ,er
เธกเน,Din
เร็วเข้า,Hurtig
ผม,hår
หวัดดี,Hej
ไม่เอาน่า,Ingen
เพื่อน,ven
ตกลง,enig
จริงเหรอ,Virkelig?
นะ,Ja
หรือ,eller
เยี่ยม,besøg
คน,person
ไม่ใช่,ingen
ไปกันเถอะ,Lad os gå
ฮัลโหล,Hej
เดี๋ยวก่อน,Vent et øjeblik
แต่ว่า,men
ั,Top
ฉันไม่รู้,Jeg ved ikke
ขอบใจ,takke
ขอโทษ,undskyld mig
ขอบคุณครับ,tak skal du have
ฉันหมายถึง,jeg mener
ว่าไง,Hvordan går det?
อย่า,lade være med
อ้า,åben
เฮ้ย,Hoy!
ก็,Som
มานี่,Kom her
